标题,导演,评分,出版时间,短句
['背靠背，脸对脸'],黄建新,9.5,1994,
['三块广告牌'],马丁·麦克唐纳,8.7,2017,怼天怼地，你走后，她与世界为敌。
['达拉斯买家俱乐部'],让-马克·瓦雷,8.8,2013,Jared Leto的腿比女人还美！
['小丑'],托德·菲利普斯,8.7,2019,
['谍影重重3'],保罗·格林格拉斯,8.9,2007,像吃了苏打饼一样干脆的电影。
['疯狂原始人'],科克·德·米科,8.7,2013,老少皆宜，这就是好莱坞动画的魅力。
['心灵奇旅'],彼特·道格特,8.7,2020,
['绿里奇迹'],弗兰克·德拉邦特,8.9,1999,
['爱在午夜降临前'],理查德·林克莱特,8.9,2013,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
['上帝之城'],费尔南多·梅里尔斯,9.0,2002,
['海街日记'],是枝裕和,8.8,2015,是枝裕和的家庭习作。
['英雄本色'],吴宇森,8.6,1986,
['无间道2'],刘伟强,8.8,2003,
['风之谷'],宫崎骏,8.9,1984,
['疯狂的石头'],宁浩,8.6,2006,中国版《两杆大烟枪》。
['心迷宫'],忻钰坤,8.7,2014,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
['2001太空漫游'],斯坦利·库布里克,8.9,1968,
['雨中曲'],斯坦利·多南,9.1,1952,
['纵横四海'],吴宇森,8.8,1991,
['记忆碎片'],克里斯托弗·诺兰,8.7,2000,
['卢旺达饭店'],特瑞·乔治,8.9,2004,当这个世界闭上双眼，他却敞开了怀抱。
['无敌破坏王'],瑞奇·莫尔,8.7,2012,迪士尼和皮克斯拿错剧本的产物。
['小偷家族'],是枝裕和,8.7,2018,我们组成了家。
['末路狂花'],雷德利·斯科特,9.0,1991,
['冰川时代'],卡洛斯·沙尔丹哈,8.6,2002,
['牯岭街少年杀人事件'],杨德昌,8.9,1991,
['岁月神偷'],罗启锐,8.7,2010,岁月流逝，来日可追。
['恐怖游轮'],克里斯托弗·史密斯,8.5,2009,不要企图在重复中寻找已经失去的爱。
['东京教父'],今敏,9.0,2003,
['忠犬八公物语'],神山征二郎,9.2,1987,
['魔女宅急便'],宫崎骏,8.7,1989,
['高山下的花环'],谢晋,9.5,1984(中国大陆),
['荒蛮故事'],达米安·斯兹弗隆,8.8,2014,始于荒诞，止于更荒诞。
['遗愿清单'],罗伯·莱纳,8.7,2007,用剩余不多的时间，去燃烧整个生命。
['大佛普拉斯'],黄信尧,8.7,2017,人们可以登上月球，却永远无法探索人们内心的宇宙。
['贫民窟的百万富翁'],丹尼·鲍尔,8.6,2008,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
['东邪西毒'],王家卫,8.6,1994,
['你看起来好像很好吃'],藤森雅也,8.9,2010,感情不分食草或者食肉。
['源代码'],邓肯·琼斯,8.6,2011,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
['疯狂的麦克斯4：狂暴之路'],乔治·米勒,8.7,2015,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
['可可西里'],陆川,8.9,2004,坚硬的信仰。
['爆裂鼓手'],达米恩·查泽雷,8.6,2014,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
['城市之光'],Charles,9.3,1931,
['芙蓉镇'],谢晋,9.3,1987,
['波西米亚狂想曲'],布莱恩·辛格,8.6,2018,
['黑天鹅'],达伦·阿罗诺夫斯基,8.6,2010,黑暗之美。
['花束般的恋爱'],土井裕泰,8.6,2021,
['青蛇'],徐克,8.6,1993,
['爱乐之城'],达米恩·查泽雷,8.4,2016,
['终结者2：审判日'],詹姆斯·卡梅隆,8.8,1991,
['初恋这件小事'],普特鹏·普罗萨卡·那·萨克那卡林,8.5,2010,黑小鸭速效美白记。
['哈利·波特与死亡圣器(上)'],大卫·叶茨,8.6,2010,最忠于原著的一部。
['雨人'],巴瑞·莱文森,8.7,1988,
['白日梦想家'],本·斯蒂勒,8.6,2013,
['人工智能'],史蒂文·斯皮尔伯格,8.7,2001,
['真爱至上'],理查德·柯蒂斯,8.5,2003,
['新龙门客栈'],李惠民,8.7,1992,
['无耻混蛋'],昆汀·塔伦蒂诺,8.7,2009,昆汀同学越来越变态了，比北野武还杜琪峰。
['虎口脱险'],杰拉尔·乌里,8.9,1966,
['崖上的波妞'],宫崎骏,8.6,2008,
['恋恋笔记本'],尼克·卡索维茨,8.5,2004,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
['罗生门'],黑泽明,8.8,1950,
['千钧一发'],安德鲁·尼科尔,8.8,1997,
['大红灯笼高高挂'],张艺谋,8.8,1991,
['彗星来的那一夜'],詹姆斯·沃德·布柯特,8.6,2013,小成本大魅力。
['海边的曼彻斯特'],肯尼斯·罗纳根,8.6,2016,我们都有权利不与自己的过去和解。
['哈利·波特与凤凰社'],大卫·叶茨,8.5,2007,
['黑客帝国2：重装上阵'],拉娜·沃卓斯基,8.7,2003,
['火星救援'],雷德利·斯科特,8.5,2015,
['萤火虫之墓'],高畑勋,8.7,1988,
['奇迹男孩'],斯蒂芬·卓博斯基,8.6,2017,世界不完美，爱会有奇迹。
['战争之王'],安德鲁·尼科尔,8.7,2005,做一颗让别人需要你的棋子。
['步履不停'],是枝裕和,8.8,2008,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
['千年女优'],今敏,8.8,2001,
['血钻'],爱德华·兹威克,8.7,2006,每个美丽事物背后都是滴血的现实。
['谍影重重2'],保罗·格林格拉斯,8.7,2004,谁说王家卫镜头很晃？
['蜘蛛侠：平行宇宙'],鲍勃·佩尔西凯蒂,8.6,2018,
['魂断蓝桥'],茂文·勒鲁瓦,8.8,1940,
['房间'],伦尼·阿伯拉罕森,8.8,2015,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
['弱点'],约翰·李·汉考克,8.7,2009,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
['谍影重重'],道格·里曼,8.6,2002,
['隐藏人物'],特奥多尔·梅尔菲,8.9,2016,
['冰雪奇缘'],克里斯·巴克,8.5,2013,
['朗读者'],史蒂芬·戴德利,8.6,2008,
['哪吒之魔童降世'],饺子,8.4,2019,
